Year,SERIES,តំបន់យោង,ភេទ,អាយុ,UNIT_MEASURE,GeoCode,Value
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,85.3
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,84.6
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,82.7
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,85.1
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,87.8
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,86.9
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,87.7
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,84.8
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,86.5
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,90.0
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,87.3
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,87.2
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,79.5
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,80.7
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,85.3
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,81.3
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,85.7
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,90.2
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,86.8
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,86.8
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,86.8
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,87.7
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,91.0
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,87.8
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,89.7
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,77.0
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,84.7
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,82.1
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,80.6
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,83.5
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,85.1
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,83.5
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,87.4
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,82.4
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,83.7
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,86.8
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,82.8
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,85.4
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,64.8
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,72.6
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,74.0
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,70.4
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,72.5
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,75.5
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,75.0
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,78.8
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,73.1
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,76.9
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,81.3
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,79.5
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,78.5
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,81.2
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,81.6
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,81.6
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,77.2
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,79.0
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,83.1
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,82.3
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,82.7
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,77.5
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,81.8
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,85.8
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,81.9
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,85.6
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,81.5
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,87.5
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,80.5
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,83.6
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,86.4
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,84.7
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,85.7
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,82.5
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,80.8
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,81.1
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,85.9
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,82.8
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,76.7
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៦ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,64.2
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៦ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,68.5
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៦ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,74.1
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៦ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,71.8
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៦ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,76.4
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦ ឆ្នាំឡើងទៅ,ភាគរយ,,75.3
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦ ឆ្នាំឡើងទៅ,ភាគរយ,,78.0
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦ ឆ្នាំឡើងទៅ,ភាគរយ,,82.3
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦ ឆ្នាំឡើងទៅ,ភាគរយ,,80.3
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦ ឆ្នាំឡើងទៅ,ភាគរយ,,80.7
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,61.4
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,64.3
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,68.0
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,68.4
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,69.5
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,70.1
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,61.7
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,62.7
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,67.4
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,72.6
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,74.0
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,72.7
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,75.2
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,77.9
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,75.7
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,77.0
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,80.4
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,87.8
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,88.8
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,87.1
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,88.8
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,91.5
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,92.1
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,93.0
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,90.1
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,92.2
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,95.4
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,94.6
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,94.1
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,69.4
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,75.1
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,75.6
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,73.9
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,76.7
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,79.9
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,79.7
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,80.7
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,78.1
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,80.5
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,84.4
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,82.5
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,81.9
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,71.4
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,75.2
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,78.4
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,74.9
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,80.2
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,84.6
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,82.6
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,84.4
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,82.9
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,84.9
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,89.2
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,86.8
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,88.9
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,66.0
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,73.8
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,73.9
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,71.6
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,74.6
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,76.8
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,78.7
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,80.3
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,74.8
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,77.5
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,81.4
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,76.8
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,80.2
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,35.1
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,38.8
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,43.0
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,40.1
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,42.9
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,45.2
