Year,SERIES,តំបន់យោង,ភេទ,UNIT_MEASURE,GeoCode,Value
2015,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,100.0
2016,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,100.0
2017,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,100.0
2018,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,100.0
2019,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,100.0
2020,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,100.0
2021,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,100.0
1998,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
1999,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2000,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2001,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2002,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2003,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2008,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2009,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2010,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2011,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2012,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2013,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2014,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2015,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2016,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2017,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2018,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2019,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2020,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
2021,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កែប,ស្រី,ភាគរយ,KH23,0.0
1993,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
1994,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
1995,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
1996,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
1997,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
1998,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
1999,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
2000,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
2001,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
2002,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
2003,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
2008,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,25.0
2009,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
2010,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
2011,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
2012,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
2013,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
2014,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
2015,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
2016,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
2017,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
2018,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
2019,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
2020,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
2021,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,តាកែវ,ស្រី,ភាគរយ,KH21,12.5
1993,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,0.0
1994,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,0.0
1995,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,0.0
1996,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,0.0
1997,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,0.0
1998,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,0.0
1999,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,0.0
2000,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,0.0
2001,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,0.0
2002,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,0.0
2003,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,0.0
2008,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,0.0
2009,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,0.0
2010,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,0.0
2011,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,0.0
2012,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,0.0
2013,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,0.0
2014,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,16.67
2015,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,16.67
2016,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,16.67
2017,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,16.67
2018,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,16.67
2019,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,16.67
2020,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,16.67
2021,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,បន្ទាយមានជ័យ,ស្រី,ភាគរយ,KH01,16.67
1993,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,0.0
1994,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,0.0
1995,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,0.0
1996,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,0.0
1997,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,0.0
1998,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,0.0
1999,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,0.0
2000,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,0.0
2001,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,0.0
2002,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,0.0
2003,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,0.0
2008,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,25.0
2009,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,25.0
2010,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,25.0
2011,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,25.0
2012,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,25.0
2013,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,25.0
2014,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,25.0
2015,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,25.0
2016,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,25.0
2017,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,25.0
2018,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,25.0
2019,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,25.0
2020,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,25.0
2021,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ពោធិសាត់,ស្រី,ភាគរយ,KH15,25.0
1993,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
1994,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
1995,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
1996,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
1997,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
1998,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
1999,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2000,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2001,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2002,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2003,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2008,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2009,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2010,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2011,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2012,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2013,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2014,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2015,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2016,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2017,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2018,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2019,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2020,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
2021,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ព្រះវិហារ,ស្រី,ភាគរយ,KH13,0.0
1993,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កំពង់ធំ,ស្រី,ភាគរយ,KH06,0.0
1994,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កំពង់ធំ,ស្រី,ភាគរយ,KH06,0.0
1995,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កំពង់ធំ,ស្រី,ភាគរយ,KH06,0.0
1996,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កំពង់ធំ,ស្រី,ភាគរយ,KH06,0.0
1997,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កំពង់ធំ,ស្រី,ភាគរយ,KH06,0.0
1998,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កំពង់ធំ,ស្រី,ភាគរយ,KH06,0.0
1999,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កំពង់ធំ,ស្រី,ភាគរយ,KH06,0.0
2000,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កំពង់ធំ,ស្រី,ភាគរយ,KH06,0.0
2001,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កំពង់ធំ,ស្រី,ភាគរយ,KH06,0.0
2002,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កំពង់ធំ,ស្រី,ភាគរយ,KH06,0.0
2003,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,កំពង់ធំ,ស្រី,ភាគរយ,KH06,0.0
