Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2009,N_KH_04010102_01,KH09,M,,PT,KH09,44.0
2010,N_KH_04010102_01,KH09,M,,PT,KH09,52.8
2011,N_KH_04010102_01,KH09,M,,PT,KH09,41.3
2012,N_KH_04010102_01,KH09,M,,PT,KH09,38.9
2013,N_KH_04010102_01,KH09,M,,PT,KH09,35.4
2014,N_KH_04010102_01,KH09,M,,PT,KH09,36.5
2015,N_KH_04010102_01,KH09,M,,PT,KH09,34.6
2016,N_KH_04010102_01,KH09,M,,PT,KH09,35.7
2017,N_KH_04010102_01,KH09,M,,PT,KH09,34.0
2018,N_KH_04010102_01,KH09,M,,PT,KH09,35.1
2019,N_KH_04010102_01,KH09,M,,PT,KH09,31.9
2009,N_KH_04010102_01,KH09,,,PT,KH09,42.2
2010,N_KH_04010102_01,KH09,,,PT,KH09,48.4
2011,N_KH_04010102_01,KH09,,,PT,KH09,39.1
2012,N_KH_04010102_01,KH09,,,PT,KH09,37.3
2013,N_KH_04010102_01,KH09,,,PT,KH09,35.2
2014,N_KH_04010102_01,KH09,,,PT,KH09,34.6
2015,N_KH_04010102_01,KH09,,,PT,KH09,32.6
2016,N_KH_04010102_01,KH09,,,PT,KH09,33.4
2017,N_KH_04010102_01,KH09,,,PT,KH09,34.5
2018,N_KH_04010102_01,KH09,,,PT,KH09,36.2
2019,N_KH_04010102_01,KH09,,,PT,KH09,34.2
2009,N_KH_04010102_01,KH10,F,,PT,KH10,39.6
2010,N_KH_04010102_01,KH10,F,,PT,KH10,46.5
2011,N_KH_04010102_01,KH10,F,,PT,KH10,33.8
2012,N_KH_04010102_01,KH10,F,,PT,KH10,34.2
2013,N_KH_04010102_01,KH10,F,,PT,KH10,33.1
2014,N_KH_04010102_01,KH10,F,,PT,KH10,32.0
2015,N_KH_04010102_01,KH10,F,,PT,KH10,31.8
2016,N_KH_04010102_01,KH10,F,,PT,KH10,37.4
2017,N_KH_04010102_01,KH10,F,,PT,KH10,39.5
2018,N_KH_04010102_01,KH10,F,,PT,KH10,37.3
2019,N_KH_04010102_01,KH10,F,,PT,KH10,37.4
2009,N_KH_04010102_01,KH10,M,,PT,KH10,37.7
2010,N_KH_04010102_01,KH10,M,,PT,KH10,42.9
2011,N_KH_04010102_01,KH10,M,,PT,KH10,32.7
2012,N_KH_04010102_01,KH10,M,,PT,KH10,30.9
2013,N_KH_04010102_01,KH10,M,,PT,KH10,29.5
2014,N_KH_04010102_01,KH10,M,,PT,KH10,27.9
2015,N_KH_04010102_01,KH10,M,,PT,KH10,28.0
2016,N_KH_04010102_01,KH10,M,,PT,KH10,30.4
2017,N_KH_04010102_01,KH10,M,,PT,KH10,30.4
2018,N_KH_04010102_01,KH10,M,,PT,KH10,31.5
2019,N_KH_04010102_01,KH10,M,,PT,KH10,28.5
2009,N_KH_04010102_01,KH10,,,PT,KH10,38.6
2010,N_KH_04010102_01,KH10,,,PT,KH10,44.6
2011,N_KH_04010102_01,KH10,,,PT,KH10,33.3
2012,N_KH_04010102_01,KH10,,,PT,KH10,32.5
2013,N_KH_04010102_01,KH10,,,PT,KH10,31.3
2014,N_KH_04010102_01,KH10,,,PT,KH10,29.9
2015,N_KH_04010102_01,KH10,,,PT,KH10,29.9
2016,N_KH_04010102_01,KH10,,,PT,KH10,33.8
2017,N_KH_04010102_01,KH10,,,PT,KH10,34.8
2018,N_KH_04010102_01,KH10,,,PT,KH10,34.3
2019,N_KH_04010102_01,KH10,,,PT,KH10,32.8
2009,N_KH_04010102_01,KH11,F,,PT,KH11,22.0
2010,N_KH_04010102_01,KH11,F,,PT,KH11,31.8
2011,N_KH_04010102_01,KH11,F,,PT,KH11,26.2
2012,N_KH_04010102_01,KH11,F,,PT,KH11,23.7
2013,N_KH_04010102_01,KH11,F,,PT,KH11,28.4
2014,N_KH_04010102_01,KH11,F,,PT,KH11,31.4
2015,N_KH_04010102_01,KH11,F,,PT,KH11,26.9
2016,N_KH_04010102_01,KH11,F,,PT,KH11,38.4
2017,N_KH_04010102_01,KH11,F,,PT,KH11,35.3
2018,N_KH_04010102_01,KH11,F,,PT,KH11,41.0
2019,N_KH_04010102_01,KH11,F,,PT,KH11,42.7
2009,N_KH_04010102_01,KH11,M,,PT,KH11,26.9
2010,N_KH_04010102_01,KH11,M,,PT,KH11,47.9
2011,N_KH_04010102_01,KH11,M,,PT,KH11,29.7
2012,N_KH_04010102_01,KH11,M,,PT,KH11,28.0
2013,N_KH_04010102_01,KH11,M,,PT,KH11,31.1
2014,N_KH_04010102_01,KH11,M,,PT,KH11,27.8
2015,N_KH_04010102_01,KH11,M,,PT,KH11,26.5
2016,N_KH_04010102_01,KH11,M,,PT,KH11,31.3
2017,N_KH_04010102_01,KH11,M,,PT,KH11,27.9
2018,N_KH_04010102_01,KH11,M,,PT,KH11,33.8
2019,N_KH_04010102_01,KH11,M,,PT,KH11,32.7
2009,N_KH_04010102_01,KH11,,,PT,KH11,24.5
2010,N_KH_04010102_01,KH11,,,PT,KH11,39.5
2011,N_KH_04010102_01,KH11,,,PT,KH11,28.0
2012,N_KH_04010102_01,KH11,,,PT,KH11,25.9
2013,N_KH_04010102_01,KH11,,,PT,KH11,29.8
2014,N_KH_04010102_01,KH11,,,PT,KH11,29.6
2015,N_KH_04010102_01,KH11,,,PT,KH11,26.7
2016,N_KH_04010102_01,KH11,,,PT,KH11,34.8
2017,N_KH_04010102_01,KH11,,,PT,KH11,31.5
2018,N_KH_04010102_01,KH11,,,PT,KH11,37.3
2019,N_KH_04010102_01,KH11,,,PT,KH11,37.6
2009,N_KH_04010102_01,KH22,F,,PT,KH22,35.8
2010,N_KH_04010102_01,KH22,F,,PT,KH22,35.4
2011,N_KH_04010102_01,KH22,F,,PT,KH22,30.7
2012,N_KH_04010102_01,KH22,F,,PT,KH22,24.7
2013,N_KH_04010102_01,KH22,F,,PT,KH22,27.7
2014,N_KH_04010102_01,KH22,F,,PT,KH22,31.7
2015,N_KH_04010102_01,KH22,F,,PT,KH22,30.8
2016,N_KH_04010102_01,KH22,F,,PT,KH22,34.5
2017,N_KH_04010102_01,KH22,F,,PT,KH22,36.1
2018,N_KH_04010102_01,KH22,F,,PT,KH22,37.0
2019,N_KH_04010102_01,KH22,F,,PT,KH22,37.0
2009,N_KH_04010102_01,KH22,M,,PT,KH22,34.4
2010,N_KH_04010102_01,KH22,M,,PT,KH22,38.5
2011,N_KH_04010102_01,KH22,M,,PT,KH22,29.2
2012,N_KH_04010102_01,KH22,M,,PT,KH22,26.4
2013,N_KH_04010102_01,KH22,M,,PT,KH22,24.6
2014,N_KH_04010102_01,KH22,M,,PT,KH22,27.2
2015,N_KH_04010102_01,KH22,M,,PT,KH22,28.5
2016,N_KH_04010102_01,KH22,M,,PT,KH22,28.7
2017,N_KH_04010102_01,KH22,M,,PT,KH22,29.3
2018,N_KH_04010102_01,KH22,M,,PT,KH22,32.8
2019,N_KH_04010102_01,KH22,M,,PT,KH22,30.9
2009,N_KH_04010102_01,KH22,,,PT,KH22,35.1
2010,N_KH_04010102_01,KH22,,,PT,KH22,37.0
2011,N_KH_04010102_01,KH22,,,PT,KH22,29.9
2012,N_KH_04010102_01,KH22,,,PT,KH22,25.6
2013,N_KH_04010102_01,KH22,,,PT,KH22,26.1
2014,N_KH_04010102_01,KH22,,,PT,KH22,29.3
2015,N_KH_04010102_01,KH22,,,PT,KH22,29.6
2016,N_KH_04010102_01,KH22,,,PT,KH22,31.5
2017,N_KH_04010102_01,KH22,,,PT,KH22,32.6
2018,N_KH_04010102_01,KH22,,,PT,KH22,34.8
2019,N_KH_04010102_01,KH22,,,PT,KH22,33.8
2009,N_KH_04010102_01,KH24,F,,PT,KH24,42.8
2010,N_KH_04010102_01,KH24,F,,PT,KH24,31.9
2011,N_KH_04010102_01,KH24,F,,PT,KH24,32.6
2012,N_KH_04010102_01,KH24,F,,PT,KH24,30.2
2013,N_KH_04010102_01,KH24,F,,PT,KH24,26.9
2014,N_KH_04010102_01,KH24,F,,PT,KH24,27.4
2015,N_KH_04010102_01,KH24,F,,PT,KH24,26.8
2016,N_KH_04010102_01,KH24,F,,PT,KH24,27.5
2017,N_KH_04010102_01,KH24,F,,PT,KH24,32.9
2018,N_KH_04010102_01,KH24,F,,PT,KH24,31.4
2019,N_KH_04010102_01,KH24,F,,PT,KH24,32.1
2009,N_KH_04010102_01,KH24,M,,PT,KH24,45.5
2010,N_KH_04010102_01,KH24,M,,PT,KH24,43.1
2011,N_KH_04010102_01,KH24,M,,PT,KH24,32.4
2012,N_KH_04010102_01,KH24,M,,PT,KH24,32.3
2013,N_KH_04010102_01,KH24,M,,PT,KH24,26.4
2014,N_KH_04010102_01,KH24,M,,PT,KH24,26.1
2015,N_KH_04010102_01,KH24,M,,PT,KH24,23.2
2016,N_KH_04010102_01,KH24,M,,PT,KH24,25.7
2017,N_KH_04010102_01,KH24,M,,PT,KH24,27.4
2018,N_KH_04010102_01,KH24,M,,PT,KH24,26.6
2019,N_KH_04010102_01,KH24,M,,PT,KH24,28.6
2009,N_KH_04010102_01,KH24,,,PT,KH24,44.2
2010,N_KH_04010102_01,KH24,,,PT,KH24,37.6
2011,N_KH_04010102_01,KH24,,,PT,KH24,32.5
2012,N_KH_04010102_01,KH24,,,PT,KH24,31.3
2013,N_KH_04010102_01,KH24,,,PT,KH24,26.6
2014,N_KH_04010102_01,KH24,,,PT,KH24,26.7
2015,N_KH_04010102_01,KH24,,,PT,KH24,24.9
2016,N_KH_04010102_01,KH24,,,PT,KH24,26.6
2017,N_KH_04010102_01,KH24,,,PT,KH24,30.0
2018,N_KH_04010102_01,KH24,,,PT,KH24,28.9
2019,N_KH_04010102_01,KH24,,,PT,KH24,30.3
2009,N_KH_04010102_01,KH12,F,,PT,KH12,65.1
2010,N_KH_04010102_01,KH12,F,,PT,KH12,46.5
2011,N_KH_04010102_01,KH12,F,,PT,KH12,54.6
2012,N_KH_04010102_01,KH12,F,,PT,KH12,52.4
2013,N_KH_04010102_01,KH12,F,,PT,KH12,50.0
2014,N_KH_04010102_01,KH12,F,,PT,KH12,51.9
2015,N_KH_04010102_01,KH12,F,,PT,KH12,43.2
2016,N_KH_04010102_01,KH12,F,,PT,KH12,44.4
2017,N_KH_04010102_01,KH12,F,,PT,KH12,44.9
2018,N_KH_04010102_01,KH12,F,,PT,KH12,45.8
2019,N_KH_04010102_01,KH12,F,,PT,KH12,47.0
2009,N_KH_04010102_01,KH12,M,,PT,KH12,76.2
2010,N_KH_04010102_01,KH12,M,,PT,KH12,54.8
2011,N_KH_04010102_01,KH12,M,,PT,KH12,66.8
2012,N_KH_04010102_01,KH12,M,,PT,KH12,57.4
2013,N_KH_04010102_01,KH12,M,,PT,KH12,53.4
2014,N_KH_04010102_01,KH12,M,,PT,KH12,57.4
2015,N_KH_04010102_01,KH12,M,,PT,KH12,47.8
2016,N_KH_04010102_01,KH12,M,,PT,KH12,47.1
2017,N_KH_04010102_01,KH12,M,,PT,KH12,45.9
2018,N_KH_04010102_01,KH12,M,,PT,KH12,45.6
2019,N_KH_04010102_01,KH12,M,,PT,KH12,47.4
2009,N_KH_04010102_01,KH12,,,PT,KH12,70.6
2010,N_KH_04010102_01,KH12,,,PT,KH12,50.5
2011,N_KH_04010102_01,KH12,,,PT,KH12,60.6
2012,N_KH_04010102_01,KH12,,,PT,KH12,54.9
2013,N_KH_04010102_01,KH12,,,PT,KH12,51.7
2014,N_KH_04010102_01,KH12,,,PT,KH12,54.6
2015,N_KH_04010102_01,KH12,,,PT,KH12,45.5
2016,N_KH_04010102_01,KH12,,,PT,KH12,45.7
2017,N_KH_04010102_01,KH12,,,PT,KH12,45.4
2018,N_KH_04010102_01,KH12,,,PT,KH12,45.7
2019,N_KH_04010102_01,KH12,,,PT,KH12,47.2
2009,N_KH_04010102_01,KH18,F,,PT,KH18,37.8
2010,N_KH_04010102_01,KH18,F,,PT,KH18,39.2
2011,N_KH_04010102_01,KH18,F,,PT,KH18,35.2
2012,N_KH_04010102_01,KH18,F,,PT,KH18,34.1
2013,N_KH_04010102_01,KH18,F,,PT,KH18,30.6
2014,N_KH_04010102_01,KH18,F,,PT,KH18,31.1
2015,N_KH_04010102_01,KH18,F,,PT,KH18,29.7
2016,N_KH_04010102_01,KH18,F,,PT,KH18,33.7
2017,N_KH_04010102_01,KH18,F,,PT,KH18,31.8
2018,N_KH_04010102_01,KH18,F,,PT,KH18,34.1
2019,N_KH_04010102_01,KH18,F,,PT,KH18,32.7
2009,N_KH_04010102_01,KH18,M,,PT,KH18,46.2
2010,N_KH_04010102_01,KH18,M,,PT,KH18,46.5
2011,N_KH_04010102_01,KH18,M,,PT,KH18,39.4
2012,N_KH_04010102_01,KH18,M,,PT,KH18,33.2
2013,N_KH_04010102_01,KH18,M,,PT,KH18,31.9
2014,N_KH_04010102_01,KH18,M,,PT,KH18,33.1
2015,N_KH_04010102_01,KH18,M,,PT,KH18,30.5
2016,N_KH_04010102_01,KH18,M,,PT,KH18,33.8
2017,N_KH_04010102_01,KH18,M,,PT,KH18,27.6
2018,N_KH_04010102_01,KH18,M,,PT,KH18,32.0
2019,N_KH_04010102_01,KH18,M,,PT,KH18,29.3
2009,N_KH_04010102_01,KH18,,,PT,KH18,42.1
2010,N_KH_04010102_01,KH18,,,PT,KH18,43.0
2011,N_KH_04010102_01,KH18,,,PT,KH18,37.4
2012,N_KH_04010102_01,KH18,,,PT,KH18,33.6
2013,N_KH_04010102_01,KH18,,,PT,KH18,31.2
2014,N_KH_04010102_01,KH18,,,PT,KH18,32.1
2015,N_KH_04010102_01,KH18,,,PT,KH18,30.1
2016,N_KH_04010102_01,KH18,,,PT,KH18,33.7
2017,N_KH_04010102_01,KH18,,,PT,KH18,29.6
2018,N_KH_04010102_01,KH18,,,PT,KH18,33.0
2019,N_KH_04010102_01,KH18,,,PT,KH18,30.9
2009,N_KH_04010102_01,KH13,F,,PT,KH13,39.0
2010,N_KH_04010102_01,KH13,F,,PT,KH13,43.4
2011,N_KH_04010102_01,KH13,F,,PT,KH13,38.4
2012,N_KH_04010102_01,KH13,F,,PT,KH13,38.4
2013,N_KH_04010102_01,KH13,F,,PT,KH13,44.5
2014,N_KH_04010102_01,KH13,F,,PT,KH13,44.6
2015,N_KH_04010102_01,KH13,F,,PT,KH13,42.4
2016,N_KH_04010102_01,KH13,F,,PT,KH13,46.3
2017,N_KH_04010102_01,KH13,F,,PT,KH13,53.5
2018,N_KH_04010102_01,KH13,F,,PT,KH13,57.4
2019,N_KH_04010102_01,KH13,F,,PT,KH13,58.3
2009,N_KH_04010102_01,KH13,M,,PT,KH13,37.5
2010,N_KH_04010102_01,KH13,M,,PT,KH13,43.2
2011,N_KH_04010102_01,KH13,M,,PT,KH13,35.5
2012,N_KH_04010102_01,KH13,M,,PT,KH13,36.1
2013,N_KH_04010102_01,KH13,M,,PT,KH13,36.4
2014,N_KH_04010102_01,KH13,M,,PT,KH13,35.8
2015,N_KH_04010102_01,KH13,M,,PT,KH13,35.3
2016,N_KH_04010102_01,KH13,M,,PT,KH13,38.0
2017,N_KH_04010102_01,KH13,M,,PT,KH13,40.8
2018,N_KH_04010102_01,KH13,M,,PT,KH13,43.9
2019,N_KH_04010102_01,KH13,M,,PT,KH13,45.3
2009,N_KH_04010102_01,KH13,,,PT,KH13,38.2
2010,N_KH_04010102_01,KH13,,,PT,KH13,43.3
2011,N_KH_04010102_01,KH13,,,PT,KH13,37.0
2012,N_KH_04010102_01,KH13,,,PT,KH13,37.2
2013,N_KH_04010102_01,KH13,,,PT,KH13,40.3
2014,N_KH_04010102_01,KH13,,,PT,KH13,40.1
2015,N_KH_04010102_01,KH13,,,PT,KH13,38.8
2016,N_KH_04010102_01,KH13,,,PT,KH13,42.1
2017,N_KH_04010102_01,KH13,,,PT,KH13,47.0
2018,N_KH_04010102_01,KH13,,,PT,KH13,50.5
2019,N_KH_04010102_01,KH13,,,PT,KH13,51.6
2009,N_KH_04010102_01,KH14,F,,PT,KH14,43.7
2010,N_KH_04010102_01,KH14,F,,PT,KH14,44.2
2011,N_KH_04010102_01,KH14,F,,PT,KH14,41.0
2012,N_KH_04010102_01,KH14,F,,PT,KH14,38.3
2013,N_KH_04010102_01,KH14,F,,PT,KH14,39.8
2014,N_KH_04010102_01,KH14,F,,PT,KH14,42.8
2015,N_KH_04010102_01,KH14,F,,PT,KH14,46.2
2016,N_KH_04010102_01,KH14,F,,PT,KH14,51.0
2017,N_KH_04010102_01,KH14,F,,PT,KH14,58.7
2018,N_KH_04010102_01,KH14,F,,PT,KH14,60.2
2019,N_KH_04010102_01,KH14,F,,PT,KH14,57.9
2009,N_KH_04010102_01,KH14,M,,PT,KH14,52.1
2010,N_KH_04010102_01,KH14,M,,PT,KH14,53.8
2011,N_KH_04010102_01,KH14,M,,PT,KH14,44.0
2012,N_KH_04010102_01,KH14,M,,PT,KH14,41.7
2013,N_KH_04010102_01,KH14,M,,PT,KH14,42.5
2014,N_KH_04010102_01,KH14,M,,PT,KH14,43.0
2015,N_KH_04010102_01,KH14,M,,PT,KH14,42.1
2016,N_KH_04010102_01,KH14,M,,PT,KH14,44.9
2017,N_KH_04010102_01,KH14,M,,PT,KH14,47.1
2018,N_KH_04010102_01,KH14,M,,PT,KH14,47.1
2019,N_KH_04010102_01,KH14,M,,PT,KH14,47.0
2009,N_KH_04010102_01,KH14,,,PT,KH14,48.0
2010,N_KH_04010102_01,KH14,,,PT,KH14,49.1
2011,N_KH_04010102_01,KH14,,,PT,KH14,42.6
2012,N_KH_04010102_01,KH14,,,PT,KH14,40.1
2013,N_KH_04010102_01,KH14,,,PT,KH14,41.2
2014,N_KH_04010102_01,KH14,,,PT,KH14,42.9
2015,N_KH_04010102_01,KH14,,,PT,KH14,44.0
2016,N_KH_04010102_01,KH14,,,PT,KH14,47.8
2017,N_KH_04010102_01,KH14,,,PT,KH14,52.6
2018,N_KH_04010102_01,KH14,,,PT,KH14,53.3
2019,N_KH_04010102_01,KH14,,,PT,KH14,52.2
2009,N_KH_04010102_01,KH15,F,,PT,KH15,47.4
2010,N_KH_04010102_01,KH15,F,,PT,KH15,46.6
2011,N_KH_04010102_01,KH15,F,,PT,KH15,38.6
2012,N_KH_04010102_01,KH15,F,,PT,KH15,33.3
2013,N_KH_04010102_01,KH15,F,,PT,KH15,35.3
2014,N_KH_04010102_01,KH15,F,,PT,KH15,35.1
2015,N_KH_04010102_01,KH15,F,,PT,KH15,36.3
2016,N_KH_04010102_01,KH15,F,,PT,KH15,41.3
2017,N_KH_04010102_01,KH15,F,,PT,KH15,45.9
2018,N_KH_04010102_01,KH15,F,,PT,KH15,45.8
2019,N_KH_04010102_01,KH15,F,,PT,KH15,47.0
2009,N_KH_04010102_01,KH15,M,,PT,KH15,45.7
2010,N_KH_04010102_01,KH15,M,,PT,KH15,44.5
2011,N_KH_04010102_01,KH15,M,,PT,KH15,34.6
2012,N_KH_04010102_01,KH15,M,,PT,KH15,31.2
2013,N_KH_04010102_01,KH15,M,,PT,KH15,31.8
2014,N_KH_04010102_01,KH15,M,,PT,KH15,30.1
2015,N_KH_04010102_01,KH15,M,,PT,KH15,30.6
2016,N_KH_04010102_01,KH15,M,,PT,KH15,36.3
2017,N_KH_04010102_01,KH15,M,,PT,KH15,36.2
2018,N_KH_04010102_01,KH15,M,,PT,KH15,36.5
2019,N_KH_04010102_01,KH15,M,,PT,KH15,38.3
2009,N_KH_04010102_01,KH15,,,PT,KH15,46.5
2010,N_KH_04010102_01,KH15,,,PT,KH15,45.6
2011,N_KH_04010102_01,KH15,,,PT,KH15,36.5
2012,N_KH_04010102_01,KH15,,,PT,KH15,32.2
2013,N_KH_04010102_01,KH15,,,PT,KH15,33.5
2014,N_KH_04010102_01,KH15,,,PT,KH15,32.5
2015,N_KH_04010102_01,KH15,,,PT,KH15,33.4
2016,N_KH_04010102_01,KH15,,,PT,KH15,38.7
2017,N_KH_04010102_01,KH15,,,PT,KH15,40.9
2018,N_KH_04010102_01,KH15,,,PT,KH15,41.0
2019,N_KH_04010102_01,KH15,,,PT,KH15,42.5
2009,N_KH_04010102_01,KH16,F,,PT,KH16,16.9
2010,N_KH_04010102_01,KH16,F,,PT,KH16,16.8
2011,N_KH_04010102_01,KH16,F,,PT,KH16,18.9
2012,N_KH_04010102_01,KH16,F,,PT,KH16,21.3
2013,N_KH_04010102_01,KH16,F,,PT,KH16,22.8
2014,N_KH_04010102_01,KH16,F,,PT,KH16,24.1
2015,N_KH_04010102_01,KH16,F,,PT,KH16,23.7
2016,N_KH_04010102_01,KH16,F,,PT,KH16,28.8
2017,N_KH_04010102_01,KH16,F,,PT,KH16,34.4
2018,N_KH_04010102_01,KH16,F,,PT,KH16,40.5
2019,N_KH_04010102_01,KH16,F,,PT,KH16,48.2
2009,N_KH_04010102_01,KH16,M,,PT,KH16,25.0
2010,N_KH_04010102_01,KH16,M,,PT,KH16,25.8
2011,N_KH_04010102_01,KH16,M,,PT,KH16,27.0
2012,N_KH_04010102_01,KH16,M,,PT,KH16,26.5
2013,N_KH_04010102_01,KH16,M,,PT,KH16,25.9
2014,N_KH_04010102_01,KH16,M,,PT,KH16,26.2
2015,N_KH_04010102_01,KH16,M,,PT,KH16,27.8
2016,N_KH_04010102_01,KH16,M,,PT,KH16,31.5
2017,N_KH_04010102_01,KH16,M,,PT,KH16,38.7
2018,N_KH_04010102_01,KH16,M,,PT,KH16,40.4
2019,N_KH_04010102_01,KH16,M,,PT,KH16,45.6
2009,N_KH_04010102_01,KH16,,,PT,KH16,21.1
2010,N_KH_04010102_01,KH16,,,PT,KH16,21.2
2011,N_KH_04010102_01,KH16,,,PT,KH16,23.1
2012,N_KH_04010102_01,KH16,,,PT,KH16,24.0
2013,N_KH_04010102_01,KH16,,,PT,KH16,24.4
2014,N_KH_04010102_01,KH16,,,PT,KH16,25.2
2015,N_KH_04010102_01,KH16,,,PT,KH16,25.8
2016,N_KH_04010102_01,KH16,,,PT,KH16,30.1
2017,N_KH_04010102_01,KH16,,,PT,KH16,36.7
2018,N_KH_04010102_01,KH16,,,PT,KH16,40.4
2019,N_KH_04010102_01,KH16,,,PT,KH16,46.8
2009,N_KH_04010102_01,KH17,F,,PT,KH17,43.7
2010,N_KH_04010102_01,KH17,F,,PT,KH17,46.6
2011,N_KH_04010102_01,KH17,F,,PT,KH17,42.3
2012,N_KH_04010102_01,KH17,F,,PT,KH17,40.8
2013,N_KH_04010102_01,KH17,F,,PT,KH17,41.5
2014,N_KH_04010102_01,KH17,F,,PT,KH17,42.3
2015,N_KH_04010102_01,KH17,F,,PT,KH17,43.8
2016,N_KH_04010102_01,KH17,F,,PT,KH17,49.9
2017,N_KH_04010102_01,KH17,F,,PT,KH17,52.3
2018,N_KH_04010102_01,KH17,F,,PT,KH17,56.0
2019,N_KH_04010102_01,KH17,F,,PT,KH17,55.8
2009,N_KH_04010102_01,KH17,M,,PT,KH17,40.9
2010,N_KH_04010102_01,KH17,M,,PT,KH17,43.6
2011,N_KH_04010102_01,KH17,M,,PT,KH17,37.1
2012,N_KH_04010102_01,KH17,M,,PT,KH17,33.3
2013,N_KH_04010102_01,KH17,M,,PT,KH17,31.1
2014,N_KH_04010102_01,KH17,M,,PT,KH17,31.8
2015,N_KH_04010102_01,KH17,M,,PT,KH17,34.3
2016,N_KH_04010102_01,KH17,M,,PT,KH17,35.8
2017,N_KH_04010102_01,KH17,M,,PT,KH17,36.6
2018,N_KH_04010102_01,KH17,M,,PT,KH17,40.1
2019,N_KH_04010102_01,KH17,M,,PT,KH17,41.2
2009,N_KH_04010102_01,KH17,,,PT,KH17,42.3
2010,N_KH_04010102_01,KH17,,,PT,KH17,45.1
2011,N_KH_04010102_01,KH17,,,PT,KH17,39.6
2012,N_KH_04010102_01,KH17,,,PT,KH17,37.0
2013,N_KH_04010102_01,KH17,,,PT,KH17,36.2
2014,N_KH_04010102_01,KH17,,,PT,KH17,36.9
2015,N_KH_04010102_01,KH17,,,PT,KH17,38.9
2016,N_KH_04010102_01,KH17,,,PT,KH17,42.6
2017,N_KH_04010102_01,KH17,,,PT,KH17,44.2
2018,N_KH_04010102_01,KH17,,,PT,KH17,47.8
2019,N_KH_04010102_01,KH17,,,PT,KH17,48.3
2009,N_KH_04010102_01,KH19,F,,PT,KH19,38.0
2010,N_KH_04010102_01,KH19,F,,PT,KH19,40.3
2011,N_KH_04010102_01,KH19,F,,PT,KH19,36.0
2012,N_KH_04010102_01,KH19,F,,PT,KH19,30.9
2013,N_KH_04010102_01,KH19,F,,PT,KH19,30.3
2014,N_KH_04010102_01,KH19,F,,PT,KH19,27.7
2015,N_KH_04010102_01,KH19,F,,PT,KH19,27.4
2016,N_KH_04010102_01,KH19,F,,PT,KH19,28.9
2017,N_KH_04010102_01,KH19,F,,PT,KH19,34.0
2018,N_KH_04010102_01,KH19,F,,PT,KH19,36.8
2019,N_KH_04010102_01,KH19,F,,PT,KH19,40.4
2009,N_KH_04010102_01,KH19,M,,PT,KH19,39.0
2010,N_KH_04010102_01,KH19,M,,PT,KH19,42.9
2011,N_KH_04010102_01,KH19,M,,PT,KH19,31.1
2012,N_KH_04010102_01,KH19,M,,PT,KH19,30.7
2013,N_KH_04010102_01,KH19,M,,PT,KH19,32.2
2014,N_KH_04010102_01,KH19,M,,PT,KH19,29.5
2015,N_KH_04010102_01,KH19,M,,PT,KH19,24.6
2016,N_KH_04010102_01,KH19,M,,PT,KH19,27.8
2017,N_KH_04010102_01,KH19,M,,PT,KH19,33.2
2018,N_KH_04010102_01,KH19,M,,PT,KH19,34.6
2019,N_KH_04010102_01,KH19,M,,PT,KH19,35.6
2009,N_KH_04010102_01,KH19,,,PT,KH19,38.5
2010,N_KH_04010102_01,KH19,,,PT,KH19,41.6
2011,N_KH_04010102_01,KH19,,,PT,KH19,33.5
2012,N_KH_04010102_01,KH19,,,PT,KH19,30.8
2013,N_KH_04010102_01,KH19,,,PT,KH19,31.2
2014,N_KH_04010102_01,KH19,,,PT,KH19,28.6
2015,N_KH_04010102_01,KH19,,,PT,KH19,26.0
2016,N_KH_04010102_01,KH19,,,PT,KH19,28.4
2017,N_KH_04010102_01,KH19,,,PT,KH19,33.6
2018,N_KH_04010102_01,KH19,,,PT,KH19,35.6
2019,N_KH_04010102_01,KH19,,,PT,KH19,38.0
2009,N_KH_04010102_01,KH20,F,,PT,KH20,48.0
2010,N_KH_04010102_01,KH20,F,,PT,KH20,38.7
2011,N_KH_04010102_01,KH20,F,,PT,KH20,42.4
2012,N_KH_04010102_01,KH20,F,,PT,KH20,40.3
2013,N_KH_04010102_01,KH20,F,,PT,KH20,40.2
2014,N_KH_04010102_01,KH20,F,,PT,KH20,44.6
2015,N_KH_04010102_01,KH20,F,,PT,KH20,48.6
2016,N_KH_04010102_01,KH20,F,,PT,KH20,56.6
2017,N_KH_04010102_01,KH20,F,,PT,KH20,58.1
2018,N_KH_04010102_01,KH20,F,,PT,KH20,62.9
2019,N_KH_04010102_01,KH20,F,,PT,KH20,58.6
2009,N_KH_04010102_01,KH20,M,,PT,KH20,59.0
2010,N_KH_04010102_01,KH20,M,,PT,KH20,62.4
2011,N_KH_04010102_01,KH20,M,,PT,KH20,52.1
2012,N_KH_04010102_01,KH20,M,,PT,KH20,49.3
2013,N_KH_04010102_01,KH20,M,,PT,KH20,47.8
2014,N_KH_04010102_01,KH20,M,,PT,KH20,48.8
2015,N_KH_04010102_01,KH20,M,,PT,KH20,47.9
2016,N_KH_04010102_01,KH20,M,,PT,KH20,50.4
2017,N_KH_04010102_01,KH20,M,,PT,KH20,52.6
2018,N_KH_04010102_01,KH20,M,,PT,KH20,50.8
2019,N_KH_04010102_01,KH20,M,,PT,KH20,48.4
