Year,SERIES,Reference area,Degree of urbanisation,Education level,UNIT_MEASURE,GeoCode,Value
2019,4.5.2 Gender parity index in upper secondary education,Ratanak Kiri,,Upper secondary education,Percent,KH16,0.97
2008,4.5.2 Gender parity index in upper secondary education,Siemreap,,Upper secondary education,Percent,KH17,0.72
2009,4.5.2 Gender parity index in upper secondary education,Siemreap,,Upper secondary education,Percent,KH17,0.81
2010,4.5.2 Gender parity index in upper secondary education,Siemreap,,Upper secondary education,Percent,KH17,0.89
2011,4.5.2 Gender parity index in upper secondary education,Siemreap,,Upper secondary education,Percent,KH17,1.02
2012,4.5.2 Gender parity index in upper secondary education,Siemreap,,Upper secondary education,Percent,KH17,1.06
2013,4.5.2 Gender parity index in upper secondary education,Siemreap,,Upper secondary education,Percent,KH17,1.12
2014,4.5.2 Gender parity index in upper secondary education,Siemreap,,Upper secondary education,Percent,KH17,1.2
2015,4.5.2 Gender parity index in upper secondary education,Siemreap,,Upper secondary education,Percent,KH17,1.32
2016,4.5.2 Gender parity index in upper secondary education,Siemreap,,Upper secondary education,Percent,KH17,1.33
2017,4.5.2 Gender parity index in upper secondary education,Siemreap,,Upper secondary education,Percent,KH17,1.39
2018,4.5.2 Gender parity index in upper secondary education,Siemreap,,Upper secondary education,Percent,KH17,1.34
2019,4.5.2 Gender parity index in upper secondary education,Siemreap,,Upper secondary education,Percent,KH17,1.49
2008,4.5.2 Gender parity index in upper secondary education,Stung Treng,,Upper secondary education,Percent,KH19,0.67
2009,4.5.2 Gender parity index in upper secondary education,Stung Treng,,Upper secondary education,Percent,KH19,0.65
2010,4.5.2 Gender parity index in upper secondary education,Stung Treng,,Upper secondary education,Percent,KH19,0.71
2011,4.5.2 Gender parity index in upper secondary education,Stung Treng,,Upper secondary education,Percent,KH19,0.87
2012,4.5.2 Gender parity index in upper secondary education,Stung Treng,,Upper secondary education,Percent,KH19,0.79
2013,4.5.2 Gender parity index in upper secondary education,Stung Treng,,Upper secondary education,Percent,KH19,0.95
2014,4.5.2 Gender parity index in upper secondary education,Stung Treng,,Upper secondary education,Percent,KH19,1.1
2015,4.5.2 Gender parity index in upper secondary education,Stung Treng,,Upper secondary education,Percent,KH19,0.94
2016,4.5.2 Gender parity index in upper secondary education,Stung Treng,,Upper secondary education,Percent,KH19,0.95
2017,4.5.2 Gender parity index in upper secondary education,Stung Treng,,Upper secondary education,Percent,KH19,0.99
2018,4.5.2 Gender parity index in upper secondary education,Stung Treng,,Upper secondary education,Percent,KH19,1.03
2019,4.5.2 Gender parity index in upper secondary education,Stung Treng,,Upper secondary education,Percent,KH19,1.12
2008,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,KH20,0.58
2009,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,KH20,0.71
2010,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,KH20,0.59
2011,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,KH20,0.75
2012,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,KH20,0.83
2013,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,KH20,0.84
2014,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,KH20,0.9
2015,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,KH20,0.96
2016,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,KH20,1.03
2017,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,KH20,1.13
2018,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,KH20,1.21
2019,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,KH20,1.32
2008,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,KH21,0.59
2009,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,KH21,0.76
2010,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,KH21,0.71
2011,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,KH21,0.82
2012,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,KH21,0.87
2013,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,KH21,0.91
2014,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,KH21,1.0
2015,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,KH21,1.0
2016,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,KH21,1.1
2017,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,KH21,1.16
2018,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,KH21,1.22
2019,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,KH21,1.32
2014,4.5.2 Gender parity index in upper secondary education,Tboung Khmum,,Upper secondary education,Percent,KH25,1.1
2015,4.5.2 Gender parity index in upper secondary education,Tboung Khmum,,Upper secondary education,Percent,KH25,1.2
2016,4.5.2 Gender parity index in upper secondary education,Tboung Khmum,,Upper secondary education,Percent,KH25,1.29
2017,4.5.2 Gender parity index in upper secondary education,Tboung Khmum,,Upper secondary education,Percent,KH25,1.35
2018,4.5.2 Gender parity index in upper secondary education,Tboung Khmum,,Upper secondary education,Percent,KH25,1.34
2019,4.5.2 Gender parity index in upper secondary education,Tboung Khmum,,Upper secondary education,Percent,KH25,1.51
