Value,km,en,Disaggregation combinations using this value,Number of indicators
N_KH_180301_01,១៨.៣.១ ចំនួនជនពិការដោយសារមីន/សំណល់ជាតិផ្ទុះពីសង្រ្គាមទទួលបានការលើកកម្ពស់សិទ្ធិនិងគុណភាពជីវិត,18.3.1 The number of mine and ERW casualties received rights promotion,1,1
N_KH_180302_01,១៨.៣.២ ចំនួនជនរងគ្រោះដោយសារមីន/សំណល់ជាតិផ្ទុះពីសង្រ្គាមទទួលបានសេវាស្តារលទ្ធភាពពលកម្ម,18.3.2 The number of mine and ERW casualties received rehabilitation service,1,1
N_KH_180303_01,១៨.៣.៣ ចំនួនជនរងគ្រោះដោយសារមីន/សំណល់ជាតិផ្ទុះពីសង្រ្គាមទទួលបានសេវាឆ្លើយតបបន្ទាន់និងឆាប់រហ័សពីអាជ្ញាធរ មីន,18.3.3 The number of mine and ERW casualties received emergency  and rapid response from CMAA,1,1
NY_GDP_PCAP,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,8.1.1 Annual GDP growth rate at constant prices,1,1
SD_SDG_AVLB,១៧.១៨.១ សមាមាត្រនៃសូចនាកររអភិវឌ្ឍប្រកបដោយចីរភាពដែលបានបង្កើតឡើងនៅថ្នាក់ជាតិ បំបែកទៅតាមចំណុចដៅ ដោយផ្អែកលើមូលដ្ឋានស្ថិតិផ្លូវការ,"17.18.1 Proportion of sustainable development indicators produced at the national level with full disaggregation when relevant to the target, in accordance with the Fundamental Principles of Official Statistics",1,1
SE_ACS_H2O,៤.ក.១ សមាមាត្រនៃសាលាមេត្តយ្យសិក្សា បឋមសិក្សា និងមធ្យមសិក្សាដែលមានឧបករណ៍ទឹកស្អាតសម្រាប់បរិភោគ,4.a.1 Proportion of schools with access to basic drinking water,1,1
SE_ACS_SANIT,៤.ក.២ សមាមាត្រនៃសាលាមត្តេយ្យសិក្សា បឋមសិក្សា និងមធ្យមសិក្សា ដែលមានបង្គន់ អនាម័យប្រើប្រាស់,4.a.2 Proportion of schools with access to single-sex basic sanitation facilities,1,1
SE_INF_DSBL,៤.ក.៣ ភាគរយនៃសាលាបឋមសិក្សា និងមធ្យមសិក្សាដែលមានជម្រាលសម្រាប់សិស្សពិការ,4.a.3 Proportion of schools with access to adapted infrastructure and materials for students with disabilities,1,1
SE_PRE_PARTN,៤.២.២ អត្រារួមនៃការសិក្សានៅមត្តេយ្យសិក្សា,4.2.2 Percentage ofchildren attended all aspects of ECE,1,1
SE_TRA_GRDL,៤.គ.១ ភាគរយគ្រូបង្រៀននៅមត្តេយ្យសិក្សា បឋមសិក្សា មធ្យមសិក្សាបឋមភូមិ និងមធ្យមសិក្សាទុតិយភូមិ ដែលបានឆ្លងកាត់ការបណ្តុះបណ្តាលនិងវិកឹ្រតការ,"4.c.1 Proportion of teachers inpre-primary, primary,  lower secondary and upper secondary education who have received pre-service or in-service training",1,1
SG_GEN_PARL,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,5.5.1 Proportion of seats held by women in legislative organs,26,1
SG_REG_BRTH,១៦.៩.១ សមាមាត្រនៃកុមារដែលបានចុះបញ្ជីកំណើត ជាមួយអាជ្ញាធរស៊ីវិល,16.9.1 Proportion of children under 5 years of age whose births have been registered with a civil authority,1,1
SG_REG_CENSUSN,១៧.១៩.១ ជំរឿនប្រជាជនរៀងរាល់១០ឆ្នាំម្តង,17.19.1 Population Census in every 10 years,1,1
SH_DTH_NCOM,៣.៥.១ អត្រាស្លាប់ដែលបណ្តាលមកពីជំងឺបេះដូង សរសៃឈាម មហារីក ទឹកនោមផ្អែម ឬជំងឺផ្លូវដង្ហើមរ៉ាំរ៉ៃក្នុងចំណោមប្រជាជនអាយុពី៣០ទៅ៧០ឆ្នាំ,"3.5.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",1,1
SH_DYN_MORT,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,3.3.1 Under-five mortality rate (U5MR),33,1
SH_DYN_NMRT,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,3.3.2 Neonatal mortality rate,43,1
SH_FPL_INFM,៥.៦.១ សមាមាត្រនៃស្តី្រអាយុពី១៥ដល់៤៩ឆ្នាំ ដែលសម្រេចចិត្តដោយខ្លួនឯងពាក់ព័ន្ធទៅនឹងការប្រើប្រាស់មធ្យាបាយពន្យារកំណើត និងការថែទាំសុខភាពបន្តពូជ,"5.6.1 Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",1,1
SH_H2O_SAFE,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,6.1.1 Proportion of population using an improved drinking water source,8,1
SH_HIV_INCD,៣.៤.១ អត្រានៃករណីឆ្លងថ្មីនៃមេរោគអេដស៍ក្នុងចំណោមប្រជាជនដែលគ្មានផ្ទុកមេរោគអេដស៍ ១ ០០០នាក់,3.4.1 % of new HIV infection per 1000 uninfected population,1,1
SH_MED_DEN,៣.គ.១ ផលធៀបវេជ្ជបណ្ឌិត/គិលានុប្បដ្ឋាក/យិកា/ឆ្មប លើប្រជាជន១ ០០០នាក់,"3.c.1 Ratio of physician/nurse/midwife per 1,000 population",1,1
SH_PRV_SMOK,៣.a.១ ប្រេវ៉ាឡង់នៃការប្រើប្រាស់ថ្នាំជក់ក្នុងចំណោមប្រជាជនអាយុ១៥ឆ្នាំឡើង,3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older,2,1
SH_SAN_SAFE,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,6.2.1 Proportion of population using an improved sanitation facility,6,1
SH_STA_BRTC,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,3.2.2 Proportion of births attended by skilled health personnel,26,1
SH_STA_MALR,៣.៤.៣ អាំងស៊ីដង់(ករណីឆ្លងថ្មី)នៃជំងឺគ្រុនចាញ់,3.4.3 Malaria incidence,1,1
SH_STA_MORT,៣.២.១ អត្រាមរណភាពមាតា,3.2.1 Maternal mortality ratio (MMR),25,1
SH_STA_STNT,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,43,1
SH_STA_TRAF,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,3.7.1 Injury and death due to accident,1,1
SH_STA_WAST,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,33,1
SH_TBS_INCD,"៣.៤.២ អាំងស៊ីដង់ (ករណីឆ្លងថ្មី) នៃជំងឺរបេង ក្នុង ១០០,០០០ ប្រជាជន","3.4.2 Incidence of tuberculosis per 100,000 population",1,1
SI_HEI_TOTL,១០.១.១ អត្រានៃការចំណាយ/ការប្រើប្រាស់ ឬចំណូលរបស់គ្រួសារសម្រាប់មនុស្សម្នាក់  ក្នុងចំណោមប្រជាជន៤០ភាគរយដែលមានចំណូលទាបជាងគេ ធៀបនឹងការចំណាយ/ការប្រើប្រាស់ ឬចំណូលមធ្យមរបស់ប្រជាជន,10.1.1 Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,1,1
SI_POV_50MI,១០.២.១ សមាមាត្រនៃប្រជាជនដែលរស់នៅក្រោម ៥០ភាគរយ នៃមេដ្យានចំណូល តាម អាយុ ភេទ និងជនពិការ,10.2.1 Proportion of people living below 50 per cent of median income,1,1
SI_POV_NAHC,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,1.2.1 Proportion of population below national poverty line,4,1
SI_POV_NMPI,១.២.២ សមាមាត្រ កុមារ ដែលរស់នៅក្នុងភាពក្រីក្រ  គ្រប់សមាសភាព ផ្អែកតាមនិយមន័យរបស់ជាតិ,1.2.2 Proportion of children living in poverty measured by multiple dimensions according to national definitions,1,1
SL_TLF_MANF,៩.២.១ សមមាត្រនៃចំនួននិយោជិតកម្ពុជាក្នុងវិស័យ សហគ្រាសកម្មន្តសាល ធៀបនឹងចំនួនការងារសរុបក្នុងប្រទេស,9.2.1 Number of Cambodian employees in manufacturing sector as a proportion to total employment within thecountry,1,1
SP_DYN_MRBF18,"៥.៣.១ សមាមាត្ររបស់ស្តី្រអាយុពី២០ដល់២៤ឆ្នាំដែលបានរៀបការឬរស់នៅជាមួយគ្នា
មុនអាយុ១៨ឆ្នាំ",5.3.1 Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,1,1
ST_GDP_ZS,៨.៩.១ ភាគរយនៃការរួមចំណែកដោយផ្ទាល់ពីវិស័យទេសចរណ៍ ទៅក្នុងផលិតផលក្នុងសុ្រកសរុប,8.9.1 Tourism direct GDP as a proportion of total GDP and in growth rate,1,1
VC_VAW_MARR,៥.២.១ សមាមាត្ររបស់ស្តី្រនិងក្មេងសី្រ ដែលមានអាយុ១៥ឆ្នាំ ឡើងដែលធ្លាប់ទទួលរងនូវអំពើហិង្សាលើរាងកាយផ្លូវភេទ ឬផូ្លវចិត្ត ពីដៃគូបច្ចុប្បន្ន ឬអតីតក្នុងរយៈពេល១២ខែចុងក្រោយបែងចែកតាមទម្រង់នៃអំពើហិង្សា និងតាមអាយុ,"5.2.1 Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",1,1
VC_VAW_NONMARR,៥.២.២ សមាមាត្ររបស់ស្តី្រនិង ក្មេងសី្រ ដែលមានអាយុ១៥ឆ្នាំឡើង ដែលធ្លាប់ទទួលរងនូវអំពើហឹង្សាលើផ្លូវភេទពីអ្នកមិនមែនជាដៃគូក្នុងរយៈពេល១២ខែ ចុងក្រោយបែងចែកតាមអាយុ,"5.2.2 Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",1,1
