Year,SERIES,តំបន់យោង,កំរិតនគរូបនីយកម្ម,កម្រិត​ការ​អប់រំ,UNIT_MEASURE,GeoCode,Value
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH06,1.41
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH06,1.47
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH07,0.82
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH07,0.86
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH07,0.99
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH07,0.9
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH07,0.94
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH07,0.96
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH07,1.0
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH07,1.05
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH07,1.1
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH07,1.14
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH07,1.17
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH07,1.24
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH08,0.77
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH08,0.83
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH08,0.87
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH08,0.92
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH08,0.93
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH08,0.99
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH08,1.0
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH08,1.1
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH08,1.18
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH08,1.27
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH08,1.36
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH08,1.39
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កែប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH23,0.82
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កែប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH23,0.94
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កែប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH23,1.02
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កែប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH23,1.05
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កែប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH23,1.06
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កែប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH23,1.23
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កែប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH23,1.3
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កែប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH23,1.22
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កែប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH23,1.28
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កែប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH23,1.24
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កែប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH23,1.28
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កែប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH23,1.21
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កោះកុង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH09,0.73
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កោះកុង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH09,0.71
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កោះកុង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH09,0.82
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កោះកុង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH09,0.87
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កោះកុង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH09,0.93
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កោះកុង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH09,0.95
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កោះកុង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH09,1.0
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កោះកុង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH09,0.97
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កោះកុង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH09,0.95
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កោះកុង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH09,0.94
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កោះកុង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH09,0.93
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កោះកុង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH09,1.05
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ខេត្តក្រចេះ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH10,0.88
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ខេត្តក្រចេះ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH10,0.96
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ខេត្តក្រចេះ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH10,0.98
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ខេត្តក្រចេះ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH10,1.02
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ខេត្តក្រចេះ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH10,1.08
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ខេត្តក្រចេះ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH10,1.12
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ខេត្តក្រចេះ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH10,1.1
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ខេត្តក្រចេះ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH10,1.19
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ខេត្តក្រចេះ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH10,1.18
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ខេត្តក្រចេះ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH10,1.2
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ខេត្តក្រចេះ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH10,1.27
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ខេត្តក្រចេះ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH10,1.34
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,មណ្ឌលគីរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH11,0.78
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,មណ្ឌលគីរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH11,0.71
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,មណ្ឌលគីរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH11,0.71
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,មណ្ឌលគីរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH11,0.74
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,មណ្ឌលគីរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH11,0.77
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,មណ្ឌលគីរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH11,0.8
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,មណ្ឌលគីរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH11,0.9
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,មណ្ឌលគីរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH11,0.98
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,មណ្ឌលគីរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH11,1.11
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,មណ្ឌលគីរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH11,1.19
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,មណ្ឌលគីរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH11,1.22
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,មណ្ឌលគីរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH11,1.27
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ឧត្តរមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH22,0.56
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ឧត្តរមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH22,0.7
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ឧត្តរមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH22,0.85
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ឧត្តរមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH22,0.84
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ឧត្តរមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH22,0.88
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ឧត្តរមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH22,0.86
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ឧត្តរមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH22,1.0
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ឧត្តរមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH22,1.07
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ឧត្តរមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH22,1.09
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ឧត្តរមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH22,1.1
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ឧត្តរមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH22,1.13
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ឧត្តរមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH22,1.21
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ប៉ៃលិន,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH24,0.72
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ប៉ៃលិន,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH24,0.76
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ប៉ៃលិន,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH24,0.89
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ប៉ៃលិន,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH24,0.9
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ប៉ៃលិន,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH24,0.95
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ប៉ៃលិន,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH24,0.98
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ប៉ៃលិន,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH24,1.1
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ប៉ៃលិន,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH24,1.04
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ប៉ៃលិន,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH24,1.05
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ប៉ៃលិន,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH24,1.16
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ប៉ៃលិន,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH24,1.24
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ប៉ៃលិន,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH24,1.29
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ភ្នំពេញ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH12,0.76
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ភ្នំពេញ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH12,0.7
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ភ្នំពេញ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH12,0.79
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ភ្នំពេញ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH12,0.78
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ភ្នំពេញ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH12,0.78
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ភ្នំពេញ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH12,0.83
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ភ្នំពេញ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH12,0.9
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ភ្នំពេញ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH12,0.86
