Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2010,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,KH06,76.0
2011,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,KH06,82.0
2012,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,KH06,90.0
2013,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,KH06,81.3
2014,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,KH06,74.9
2015,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,KH06,69.8
2016,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,KH06,73.3
2017,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,KH06,70.8
2018,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,KH06,75.8
2019,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,KH06,73.9
2009,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,KH06,77.0
2010,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,KH06,79.6
2011,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,KH06,84.2
2012,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,KH06,86.4
2013,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,KH06,84.2
2014,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,KH06,79.0
2015,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,KH06,76.4
2016,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,KH06,78.6
2017,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,KH06,78.8
2018,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,KH06,80.1
2019,4.1.1.1 Completion rate Grade 6,Kampong Thom,,,Percent,KH06,79.7
2009,4.1.1.1 Completion rate Grade 6,Kampot,Female,,Percent,KH07,84.4
2010,4.1.1.1 Completion rate Grade 6,Kampot,Female,,Percent,KH07,87.7
2011,4.1.1.1 Completion rate Grade 6,Kampot,Female,,Percent,KH07,90.8
2012,4.1.1.1 Completion rate Grade 6,Kampot,Female,,Percent,KH07,89.4
2013,4.1.1.1 Completion rate Grade 6,Kampot,Female,,Percent,KH07,92.8
2014,4.1.1.1 Completion rate Grade 6,Kampot,Female,,Percent,KH07,91.0
2015,4.1.1.1 Completion rate Grade 6,Kampot,Female,,Percent,KH07,85.9
2016,4.1.1.1 Completion rate Grade 6,Kampot,Female,,Percent,KH07,84.3
2017,4.1.1.1 Completion rate Grade 6,Kampot,Female,,Percent,KH07,77.5
2018,4.1.1.1 Completion rate Grade 6,Kampot,Female,,Percent,KH07,80.4
2019,4.1.1.1 Completion rate Grade 6,Kampot,Female,,Percent,KH07,77.3
2009,4.1.1.1 Completion rate Grade 6,Kampot,Male,,Percent,KH07,88.2
2010,4.1.1.1 Completion rate Grade 6,Kampot,Male,,Percent,KH07,75.4
2011,4.1.1.1 Completion rate Grade 6,Kampot,Male,,Percent,KH07,93.2
2012,4.1.1.1 Completion rate Grade 6,Kampot,Male,,Percent,KH07,98.7
2013,4.1.1.1 Completion rate Grade 6,Kampot,Male,,Percent,KH07,93.6
2014,4.1.1.1 Completion rate Grade 6,Kampot,Male,,Percent,KH07,92.2
2015,4.1.1.1 Completion rate Grade 6,Kampot,Male,,Percent,KH07,85.8
2016,4.1.1.1 Completion rate Grade 6,Kampot,Male,,Percent,KH07,82.0
2017,4.1.1.1 Completion rate Grade 6,Kampot,Male,,Percent,KH07,71.6
2018,4.1.1.1 Completion rate Grade 6,Kampot,Male,,Percent,KH07,74.5
2019,4.1.1.1 Completion rate Grade 6,Kampot,Male,,Percent,KH07,70.7
2009,4.1.1.1 Completion rate Grade 6,Kampot,,,Percent,KH07,86.4
2010,4.1.1.1 Completion rate Grade 6,Kampot,,,Percent,KH07,80.8
2011,4.1.1.1 Completion rate Grade 6,Kampot,,,Percent,KH07,92.1
2012,4.1.1.1 Completion rate Grade 6,Kampot,,,Percent,KH07,94.2
2013,4.1.1.1 Completion rate Grade 6,Kampot,,,Percent,KH07,93.2
2014,4.1.1.1 Completion rate Grade 6,Kampot,,,Percent,KH07,91.6
2015,4.1.1.1 Completion rate Grade 6,Kampot,,,Percent,KH07,85.9
2016,4.1.1.1 Completion rate Grade 6,Kampot,,,Percent,KH07,83.1
2017,4.1.1.1 Completion rate Grade 6,Kampot,,,Percent,KH07,74.5
2018,4.1.1.1 Completion rate Grade 6,Kampot,,,Percent,KH07,77.4
2019,4.1.1.1 Completion rate Grade 6,Kampot,,,Percent,KH07,73.9
2009,4.1.1.1 Completion rate Grade 6,Kandal,Female,,Percent,KH08,84.7
2010,4.1.1.1 Completion rate Grade 6,Kandal,Female,,Percent,KH08,93.1
2011,4.1.1.1 Completion rate Grade 6,Kandal,Female,,Percent,KH08,94.2
2012,4.1.1.1 Completion rate Grade 6,Kandal,Female,,Percent,KH08,92.3
2013,4.1.1.1 Completion rate Grade 6,Kandal,Female,,Percent,KH08,97.3
2014,4.1.1.1 Completion rate Grade 6,Kandal,Female,,Percent,KH08,90.6
2015,4.1.1.1 Completion rate Grade 6,Kandal,Female,,Percent,KH08,86.6
2016,4.1.1.1 Completion rate Grade 6,Kandal,Female,,Percent,KH08,84.0
2017,4.1.1.1 Completion rate Grade 6,Kandal,Female,,Percent,KH08,84.6
2018,4.1.1.1 Completion rate Grade 6,Kandal,Female,,Percent,KH08,90.3
2019,4.1.1.1 Completion rate Grade 6,Kandal,Female,,Percent,KH08,95.8
2009,4.1.1.1 Completion rate Grade 6,Kandal,Male,,Percent,KH08,86.9
2010,4.1.1.1 Completion rate Grade 6,Kandal,Male,,Percent,KH08,97.2
2011,4.1.1.1 Completion rate Grade 6,Kandal,Male,,Percent,KH08,98.0
2012,4.1.1.1 Completion rate Grade 6,Kandal,Male,,Percent,KH08,108.4
2013,4.1.1.1 Completion rate Grade 6,Kandal,Male,,Percent,KH08,99.1
2014,4.1.1.1 Completion rate Grade 6,Kandal,Male,,Percent,KH08,86.2
2015,4.1.1.1 Completion rate Grade 6,Kandal,Male,,Percent,KH08,80.0
2016,4.1.1.1 Completion rate Grade 6,Kandal,Male,,Percent,KH08,80.7
2017,4.1.1.1 Completion rate Grade 6,Kandal,Male,,Percent,KH08,81.1
2018,4.1.1.1 Completion rate Grade 6,Kandal,Male,,Percent,KH08,84.7
2019,4.1.1.1 Completion rate Grade 6,Kandal,Male,,Percent,KH08,89.4
2009,4.1.1.1 Completion rate Grade 6,Kandal,,,Percent,KH08,85.8
2010,4.1.1.1 Completion rate Grade 6,Kandal,,,Percent,KH08,95.2
2011,4.1.1.1 Completion rate Grade 6,Kandal,,,Percent,KH08,96.2
2012,4.1.1.1 Completion rate Grade 6,Kandal,,,Percent,KH08,100.3
2013,4.1.1.1 Completion rate Grade 6,Kandal,,,Percent,KH08,98.2
2014,4.1.1.1 Completion rate Grade 6,Kandal,,,Percent,KH08,88.4
2015,4.1.1.1 Completion rate Grade 6,Kandal,,,Percent,KH08,83.2
2016,4.1.1.1 Completion rate Grade 6,Kandal,,,Percent,KH08,82.3
2017,4.1.1.1 Completion rate Grade 6,Kandal,,,Percent,KH08,82.8
2018,4.1.1.1 Completion rate Grade 6,Kandal,,,Percent,KH08,87.4
2019,4.1.1.1 Completion rate Grade 6,Kandal,,,Percent,KH08,92.5
2009,4.1.1.1 Completion rate Grade 6,Kep,Female,,Percent,KH23,90.0
2010,4.1.1.1 Completion rate Grade 6,Kep,Female,,Percent,KH23,101.7
2011,4.1.1.1 Completion rate Grade 6,Kep,Female,,Percent,KH23,85.3
2012,4.1.1.1 Completion rate Grade 6,Kep,Female,,Percent,KH23,84.4
2013,4.1.1.1 Completion rate Grade 6,Kep,Female,,Percent,KH23,87.0
2014,4.1.1.1 Completion rate Grade 6,Kep,Female,,Percent,KH23,64.7
2015,4.1.1.1 Completion rate Grade 6,Kep,Female,,Percent,KH23,62.8
2016,4.1.1.1 Completion rate Grade 6,Kep,Female,,Percent,KH23,58.1
2017,4.1.1.1 Completion rate Grade 6,Kep,Female,,Percent,KH23,56.7
2018,4.1.1.1 Completion rate Grade 6,Kep,Female,,Percent,KH23,53.4
2019,4.1.1.1 Completion rate Grade 6,Kep,Female,,Percent,KH23,51.1
2009,4.1.1.1 Completion rate Grade 6,Kep,Male,,Percent,KH23,76.6
2010,4.1.1.1 Completion rate Grade 6,Kep,Male,,Percent,KH23,99.6
2011,4.1.1.1 Completion rate Grade 6,Kep,Male,,Percent,KH23,89.1
2012,4.1.1.1 Completion rate Grade 6,Kep,Male,,Percent,KH23,80.6
2013,4.1.1.1 Completion rate Grade 6,Kep,Male,,Percent,KH23,83.0
2014,4.1.1.1 Completion rate Grade 6,Kep,Male,,Percent,KH23,65.3
2015,4.1.1.1 Completion rate Grade 6,Kep,Male,,Percent,KH23,69.4
2016,4.1.1.1 Completion rate Grade 6,Kep,Male,,Percent,KH23,58.4
2017,4.1.1.1 Completion rate Grade 6,Kep,Male,,Percent,KH23,53.9
2018,4.1.1.1 Completion rate Grade 6,Kep,Male,,Percent,KH23,48.8
2019,4.1.1.1 Completion rate Grade 6,Kep,Male,,Percent,KH23,43.4
2009,4.1.1.1 Completion rate Grade 6,Kep,,,Percent,KH23,83.1
2010,4.1.1.1 Completion rate Grade 6,Kep,,,Percent,KH23,100.6
2011,4.1.1.1 Completion rate Grade 6,Kep,,,Percent,KH23,87.3
2012,4.1.1.1 Completion rate Grade 6,Kep,,,Percent,KH23,82.4
2013,4.1.1.1 Completion rate Grade 6,Kep,,,Percent,KH23,84.9
2014,4.1.1.1 Completion rate Grade 6,Kep,,,Percent,KH23,65.0
2015,4.1.1.1 Completion rate Grade 6,Kep,,,Percent,KH23,66.2
2016,4.1.1.1 Completion rate Grade 6,Kep,,,Percent,KH23,58.2
2017,4.1.1.1 Completion rate Grade 6,Kep,,,Percent,KH23,55.2
2018,4.1.1.1 Completion rate Grade 6,Kep,,,Percent,KH23,51.0
2019,4.1.1.1 Completion rate Grade 6,Kep,,,Percent,KH23,47.1
2009,4.1.1.1 Completion rate Grade 6,Koh Kong,Female,,Percent,KH09,55.2
2010,4.1.1.1 Completion rate Grade 6,Koh Kong,Female,,Percent,KH09,88.7
2011,4.1.1.1 Completion rate Grade 6,Koh Kong,Female,,Percent,KH09,78.5
2012,4.1.1.1 Completion rate Grade 6,Koh Kong,Female,,Percent,KH09,74.6
2013,4.1.1.1 Completion rate Grade 6,Koh Kong,Female,,Percent,KH09,71.0
2014,4.1.1.1 Completion rate Grade 6,Koh Kong,Female,,Percent,KH09,68.9
2015,4.1.1.1 Completion rate Grade 6,Koh Kong,Female,,Percent,KH09,65.0
2016,4.1.1.1 Completion rate Grade 6,Koh Kong,Female,,Percent,KH09,61.9
2017,4.1.1.1 Completion rate Grade 6,Koh Kong,Female,,Percent,KH09,63.4
2018,4.1.1.1 Completion rate Grade 6,Koh Kong,Female,,Percent,KH09,66.2
2019,4.1.1.1 Completion rate Grade 6,Koh Kong,Female,,Percent,KH09,68.6
2009,4.1.1.1 Completion rate Grade 6,Koh Kong,Male,,Percent,KH09,97.9
2010,4.1.1.1 Completion rate Grade 6,Koh Kong,Male,,Percent,KH09,74.1
2011,4.1.1.1 Completion rate Grade 6,Koh Kong,Male,,Percent,KH09,77.5
2012,4.1.1.1 Completion rate Grade 6,Koh Kong,Male,,Percent,KH09,75.3
2013,4.1.1.1 Completion rate Grade 6,Koh Kong,Male,,Percent,KH09,79.2
2014,4.1.1.1 Completion rate Grade 6,Koh Kong,Male,,Percent,KH09,68.0
2015,4.1.1.1 Completion rate Grade 6,Koh Kong,Male,,Percent,KH09,57.0
2016,4.1.1.1 Completion rate Grade 6,Koh Kong,Male,,Percent,KH09,55.3
2017,4.1.1.1 Completion rate Grade 6,Koh Kong,Male,,Percent,KH09,56.0
2018,4.1.1.1 Completion rate Grade 6,Koh Kong,Male,,Percent,KH09,63.2
2019,4.1.1.1 Completion rate Grade 6,Koh Kong,Male,,Percent,KH09,54.6
2009,4.1.1.1 Completion rate Grade 6,Koh Kong,,,Percent,KH09,76.8
2010,4.1.1.1 Completion rate Grade 6,Koh Kong,,,Percent,KH09,80.8
2011,4.1.1.1 Completion rate Grade 6,Koh Kong,,,Percent,KH09,78.0
2012,4.1.1.1 Completion rate Grade 6,Koh Kong,,,Percent,KH09,75.0
2013,4.1.1.1 Completion rate Grade 6,Koh Kong,,,Percent,KH09,75.2
2014,4.1.1.1 Completion rate Grade 6,Koh Kong,,,Percent,KH09,68.4
2015,4.1.1.1 Completion rate Grade 6,Koh Kong,,,Percent,KH09,60.9
2016,4.1.1.1 Completion rate Grade 6,Koh Kong,,,Percent,KH09,58.5
2017,4.1.1.1 Completion rate Grade 6,Koh Kong,,,Percent,KH09,59.6
2018,4.1.1.1 Completion rate Grade 6,Koh Kong,,,Percent,KH09,64.7
2019,4.1.1.1 Completion rate Grade 6,Koh Kong,,,Percent,KH09,61.4
2009,4.1.1.1 Completion rate Grade 6,Kratie,Female,,Percent,KH10,72.6
2010,4.1.1.1 Completion rate Grade 6,Kratie,Female,,Percent,KH10,72.9
2011,4.1.1.1 Completion rate Grade 6,Kratie,Female,,Percent,KH10,70.5
2012,4.1.1.1 Completion rate Grade 6,Kratie,Female,,Percent,KH10,67.0
2013,4.1.1.1 Completion rate Grade 6,Kratie,Female,,Percent,KH10,75.3
2014,4.1.1.1 Completion rate Grade 6,Kratie,Female,,Percent,KH10,77.3
2015,4.1.1.1 Completion rate Grade 6,Kratie,Female,,Percent,KH10,76.9
2016,4.1.1.1 Completion rate Grade 6,Kratie,Female,,Percent,KH10,77.8
2017,4.1.1.1 Completion rate Grade 6,Kratie,Female,,Percent,KH10,75.9
2018,4.1.1.1 Completion rate Grade 6,Kratie,Female,,Percent,KH10,78.2
2019,4.1.1.1 Completion rate Grade 6,Kratie,Female,,Percent,KH10,82.2
2009,4.1.1.1 Completion rate Grade 6,Kratie,Male,,Percent,KH10,71.4
2010,4.1.1.1 Completion rate Grade 6,Kratie,Male,,Percent,KH10,75.3
2011,4.1.1.1 Completion rate Grade 6,Kratie,Male,,Percent,KH10,68.4
2012,4.1.1.1 Completion rate Grade 6,Kratie,Male,,Percent,KH10,77.9
2013,4.1.1.1 Completion rate Grade 6,Kratie,Male,,Percent,KH10,71.3
2014,4.1.1.1 Completion rate Grade 6,Kratie,Male,,Percent,KH10,70.3
2015,4.1.1.1 Completion rate Grade 6,Kratie,Male,,Percent,KH10,69.6
2016,4.1.1.1 Completion rate Grade 6,Kratie,Male,,Percent,KH10,67.3
2017,4.1.1.1 Completion rate Grade 6,Kratie,Male,,Percent,KH10,68.4
2018,4.1.1.1 Completion rate Grade 6,Kratie,Male,,Percent,KH10,72.0
2019,4.1.1.1 Completion rate Grade 6,Kratie,Male,,Percent,KH10,73.8
2009,4.1.1.1 Completion rate Grade 6,Kratie,,,Percent,KH10,72.0
2010,4.1.1.1 Completion rate Grade 6,Kratie,,,Percent,KH10,74.2
2011,4.1.1.1 Completion rate Grade 6,Kratie,,,Percent,KH10,69.5
2012,4.1.1.1 Completion rate Grade 6,Kratie,,,Percent,KH10,72.5
2013,4.1.1.1 Completion rate Grade 6,Kratie,,,Percent,KH10,73.3
2014,4.1.1.1 Completion rate Grade 6,Kratie,,,Percent,KH10,73.8
2015,4.1.1.1 Completion rate Grade 6,Kratie,,,Percent,KH10,73.2
2016,4.1.1.1 Completion rate Grade 6,Kratie,,,Percent,KH10,72.5
2017,4.1.1.1 Completion rate Grade 6,Kratie,,,Percent,KH10,72.1
2018,4.1.1.1 Completion rate Grade 6,Kratie,,,Percent,KH10,75.0
2019,4.1.1.1 Completion rate Grade 6,Kratie,,,Percent,KH10,78.0
2009,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Female,,Percent,KH11,50.9
2010,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Female,,Percent,KH11,73.7
2011,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Female,,Percent,KH11,76.6
2012,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Female,,Percent,KH11,54.4
2013,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Female,,Percent,KH11,79.0
2014,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Female,,Percent,KH11,68.4
2015,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Female,,Percent,KH11,73.6
2016,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Female,,Percent,KH11,74.7
2017,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Female,,Percent,KH11,74.7
2018,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Female,,Percent,KH11,78.9
2019,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Female,,Percent,KH11,79.5
2009,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Male,,Percent,KH11,57.1
2010,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Male,,Percent,KH11,73.6
2011,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Male,,Percent,KH11,70.3
2012,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Male,,Percent,KH11,59.5
2013,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Male,,Percent,KH11,70.8
2014,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Male,,Percent,KH11,64.4
2015,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Male,,Percent,KH11,64.7
2016,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Male,,Percent,KH11,65.8
2017,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Male,,Percent,KH11,67.6
2018,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Male,,Percent,KH11,67.4
2019,4.1.1.1 Completion rate Grade 6,Mondul Kiri,Male,,Percent,KH11,69.3
2009,4.1.1.1 Completion rate Grade 6,Mondul Kiri,,,Percent,KH11,54.0
2010,4.1.1.1 Completion rate Grade 6,Mondul Kiri,,,Percent,KH11,73.6
2011,4.1.1.1 Completion rate Grade 6,Mondul Kiri,,,Percent,KH11,73.4
2012,4.1.1.1 Completion rate Grade 6,Mondul Kiri,,,Percent,KH11,57.0
2013,4.1.1.1 Completion rate Grade 6,Mondul Kiri,,,Percent,KH11,74.9
2014,4.1.1.1 Completion rate Grade 6,Mondul Kiri,,,Percent,KH11,66.4
2015,4.1.1.1 Completion rate Grade 6,Mondul Kiri,,,Percent,KH11,69.1
2016,4.1.1.1 Completion rate Grade 6,Mondul Kiri,,,Percent,KH11,70.2
2017,4.1.1.1 Completion rate Grade 6,Mondul Kiri,,,Percent,KH11,71.1
2018,4.1.1.1 Completion rate Grade 6,Mondul Kiri,,,Percent,KH11,73.1
2019,4.1.1.1 Completion rate Grade 6,Mondul Kiri,,,Percent,KH11,74.3
2009,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Female,,Percent,KH22,73.9
2010,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Female,,Percent,KH22,74.5
2011,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Female,,Percent,KH22,78.6
2012,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Female,,Percent,KH22,77.4
2013,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Female,,Percent,KH22,83.1
2014,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Female,,Percent,KH22,77.6
2015,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Female,,Percent,KH22,72.9
2016,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Female,,Percent,KH22,70.5
2017,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Female,,Percent,KH22,70.9
2018,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Female,,Percent,KH22,76.5
2019,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Female,,Percent,KH22,72.9
2009,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Male,,Percent,KH22,77.8
2010,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Male,,Percent,KH22,85.6
2011,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Male,,Percent,KH22,74.9
2012,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Male,,Percent,KH22,83.0
2013,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Male,,Percent,KH22,78.5
2014,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Male,,Percent,KH22,70.4
2015,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Male,,Percent,KH22,65.5
2016,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Male,,Percent,KH22,66.3
2017,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Male,,Percent,KH22,64.8
2018,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Male,,Percent,KH22,65.1
2019,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,Male,,Percent,KH22,63.9
2009,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,,,Percent,KH22,75.9
2010,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,,,Percent,KH22,79.7
2011,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,,,Percent,KH22,76.7
2012,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,,,Percent,KH22,80.3
2013,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,,,Percent,KH22,80.7
2014,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,,,Percent,KH22,73.9
2015,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,,,Percent,KH22,69.0
2016,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,,,Percent,KH22,68.3
2017,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,,,Percent,KH22,67.7
2018,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,,,Percent,KH22,70.6
2019,4.1.1.1 Completion rate Grade 6,Oddar Meanchey,,,Percent,KH22,68.2
2009,4.1.1.1 Completion rate Grade 6,Pailin,Female,,Percent,KH24,72.8
2010,4.1.1.1 Completion rate Grade 6,Pailin,Female,,Percent,KH24,74.6
2011,4.1.1.1 Completion rate Grade 6,Pailin,Female,,Percent,KH24,63.5
2012,4.1.1.1 Completion rate Grade 6,Pailin,Female,,Percent,KH24,64.9
2013,4.1.1.1 Completion rate Grade 6,Pailin,Female,,Percent,KH24,65.3
2014,4.1.1.1 Completion rate Grade 6,Pailin,Female,,Percent,KH24,67.3
2015,4.1.1.1 Completion rate Grade 6,Pailin,Female,,Percent,KH24,63.6
2016,4.1.1.1 Completion rate Grade 6,Pailin,Female,,Percent,KH24,66.0
2017,4.1.1.1 Completion rate Grade 6,Pailin,Female,,Percent,KH24,62.1
2018,4.1.1.1 Completion rate Grade 6,Pailin,Female,,Percent,KH24,62.7
2019,4.1.1.1 Completion rate Grade 6,Pailin,Female,,Percent,KH24,60.2
2009,4.1.1.1 Completion rate Grade 6,Pailin,Male,,Percent,KH24,72.6
2010,4.1.1.1 Completion rate Grade 6,Pailin,Male,,Percent,KH24,76.3
2011,4.1.1.1 Completion rate Grade 6,Pailin,Male,,Percent,KH24,60.0
2012,4.1.1.1 Completion rate Grade 6,Pailin,Male,,Percent,KH24,65.4
2013,4.1.1.1 Completion rate Grade 6,Pailin,Male,,Percent,KH24,67.3
2014,4.1.1.1 Completion rate Grade 6,Pailin,Male,,Percent,KH24,64.4
2015,4.1.1.1 Completion rate Grade 6,Pailin,Male,,Percent,KH24,58.1
2016,4.1.1.1 Completion rate Grade 6,Pailin,Male,,Percent,KH24,53.7
2017,4.1.1.1 Completion rate Grade 6,Pailin,Male,,Percent,KH24,52.0
2018,4.1.1.1 Completion rate Grade 6,Pailin,Male,,Percent,KH24,52.5
2019,4.1.1.1 Completion rate Grade 6,Pailin,Male,,Percent,KH24,56.9
2009,4.1.1.1 Completion rate Grade 6,Pailin,,,Percent,KH24,72.7
2010,4.1.1.1 Completion rate Grade 6,Pailin,,,Percent,KH24,75.5
2011,4.1.1.1 Completion rate Grade 6,Pailin,,,Percent,KH24,61.7
2012,4.1.1.1 Completion rate Grade 6,Pailin,,,Percent,KH24,65.2
2013,4.1.1.1 Completion rate Grade 6,Pailin,,,Percent,KH24,66.3
2014,4.1.1.1 Completion rate Grade 6,Pailin,,,Percent,KH24,65.8
2015,4.1.1.1 Completion rate Grade 6,Pailin,,,Percent,KH24,60.8
2016,4.1.1.1 Completion rate Grade 6,Pailin,,,Percent,KH24,59.6
2017,4.1.1.1 Completion rate Grade 6,Pailin,,,Percent,KH24,56.9
2018,4.1.1.1 Completion rate Grade 6,Pailin,,,Percent,KH24,57.4
2019,4.1.1.1 Completion rate Grade 6,Pailin,,,Percent,KH24,58.5
2009,4.1.1.1 Completion rate Grade 6,Phnom Penh,Female,,Percent,KH12,83.3
2010,4.1.1.1 Completion rate Grade 6,Phnom Penh,Female,,Percent,KH12,80.0
2011,4.1.1.1 Completion rate Grade 6,Phnom Penh,Female,,Percent,KH12,98.2
2012,4.1.1.1 Completion rate Grade 6,Phnom Penh,Female,,Percent,KH12,85.2
2013,4.1.1.1 Completion rate Grade 6,Phnom Penh,Female,,Percent,KH12,85.0
2014,4.1.1.1 Completion rate Grade 6,Phnom Penh,Female,,Percent,KH12,83.4
2015,4.1.1.1 Completion rate Grade 6,Phnom Penh,Female,,Percent,KH12,81.9
2016,4.1.1.1 Completion rate Grade 6,Phnom Penh,Female,,Percent,KH12,80.4
2017,4.1.1.1 Completion rate Grade 6,Phnom Penh,Female,,Percent,KH12,78.8
2018,4.1.1.1 Completion rate Grade 6,Phnom Penh,Female,,Percent,KH12,84.7
2019,4.1.1.1 Completion rate Grade 6,Phnom Penh,Female,,Percent,KH12,86.1
2009,4.1.1.1 Completion rate Grade 6,Phnom Penh,Male,,Percent,KH12,81.6
2010,4.1.1.1 Completion rate Grade 6,Phnom Penh,Male,,Percent,KH12,88.8
2011,4.1.1.1 Completion rate Grade 6,Phnom Penh,Male,,Percent,KH12,95.7
2012,4.1.1.1 Completion rate Grade 6,Phnom Penh,Male,,Percent,KH12,84.1
2013,4.1.1.1 Completion rate Grade 6,Phnom Penh,Male,,Percent,KH12,81.1
2014,4.1.1.1 Completion rate Grade 6,Phnom Penh,Male,,Percent,KH12,77.3
2015,4.1.1.1 Completion rate Grade 6,Phnom Penh,Male,,Percent,KH12,75.2
2016,4.1.1.1 Completion rate Grade 6,Phnom Penh,Male,,Percent,KH12,73.5
2017,4.1.1.1 Completion rate Grade 6,Phnom Penh,Male,,Percent,KH12,70.9
2018,4.1.1.1 Completion rate Grade 6,Phnom Penh,Male,,Percent,KH12,75.7
2019,4.1.1.1 Completion rate Grade 6,Phnom Penh,Male,,Percent,KH12,77.5
2009,4.1.1.1 Completion rate Grade 6,Phnom Penh,,,Percent,KH12,82.4
2010,4.1.1.1 Completion rate Grade 6,Phnom Penh,,,Percent,KH12,84.3
2011,4.1.1.1 Completion rate Grade 6,Phnom Penh,,,Percent,KH12,96.9
2012,4.1.1.1 Completion rate Grade 6,Phnom Penh,,,Percent,KH12,84.6
2013,4.1.1.1 Completion rate Grade 6,Phnom Penh,,,Percent,KH12,73.0
2014,4.1.1.1 Completion rate Grade 6,Phnom Penh,,,Percent,KH12,80.2
2015,4.1.1.1 Completion rate Grade 6,Phnom Penh,,,Percent,KH12,78.4
2016,4.1.1.1 Completion rate Grade 6,Phnom Penh,,,Percent,KH12,76.8
2017,4.1.1.1 Completion rate Grade 6,Phnom Penh,,,Percent,KH12,74.6
2018,4.1.1.1 Completion rate Grade 6,Phnom Penh,,,Percent,KH12,79.9
2019,4.1.1.1 Completion rate Grade 6,Phnom Penh,,,Percent,KH12,81.6
